symbol,pair,contractType,deliveryDate,onboardDate,status,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,marginAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,underlyingType,underlyingSubType,settlePlan,triggerProtect,liquidationFee,marketTakeBound,filters,orderTypes,timeInForce
BTCUSDT,BTCUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,BTC,USDT,USDT,2,3,8,8,COIN,['PoW'],0,0.0500,0.017500,0.05,"[{'minPrice': '556.80', 'maxPrice': '4529764', 'filterType': 'PRICE_FILTER', 'tickSize': '0.10'}, {'stepSize': '0.001', 'filterType': 'LOT_SIZE', 'maxQty': '1000', 'minQty': '0.001'}, {'stepSize': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '120', 'minQty': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
ETHUSDT,ETHUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ETH,USDT,USDT,2,3,8,8,COIN,['Layer-1'],0,0.0500,0.015000,0.05,"[{'minPrice': '39.86', 'maxPrice': '306177', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '0.001', 'filterType': 'LOT_SIZE', 'maxQty': '10000', 'minQty': '0.001'}, {'stepSize': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '2000', 'minQty': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
BCHUSDT,BCHUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,BCH,USDT,USDT,2,3,8,8,COIN,['PoW'],0,0.0500,0.010000,0.05,"[{'minPrice': '13.93', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '0.001', 'filterType': 'LOT_SIZE', 'maxQty': '10000', 'minQty': '0.001'}, {'stepSize': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '850', 'minQty': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
XRPUSDT,XRPUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,XRP,USDT,USDT,4,1,8,8,COIN,['Payment'],0,0.0500,0.005000,0.05,"[{'minPrice': '0.0143', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.0001'}, {'stepSize': '0.1', 'filterType': 'LOT_SIZE', 'maxQty': '20000000', 'minQty': '0.1'}, {'stepSize': '0.1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '2000000', 'minQty': '0.1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
EOSUSDT,EOSUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,EOS,USDT,USDT,3,1,8,8,COIN,['Layer-1'],0,0.1000,0.015000,0.10,"[{'minPrice': '0.111', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '0.1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '0.1'}, {'stepSize': '0.1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '120000', 'minQty': '0.1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
LTCUSDT,LTCUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,LTC,USDT,USDT,2,3,8,8,COIN,['PoW'],0,0.0500,0.015000,0.05,"[{'minPrice': '3.61', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01'}, {'stepSize': '0.001', 'filterType': 'LOT_SIZE', 'maxQty': '10000', 'minQty': '0.001'}, {'stepSize': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '3000', 'minQty': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
TRXUSDT,TRXUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,TRX,USDT,USDT,5,0,8,8,COIN,['Layer-1'],0,0.0500,0.020000,0.05,"[{'minPrice': '0.00132', 'maxPrice': '20000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.00001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '10000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '5000000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
ETCUSDT,ETCUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ETC,USDT,USDT,3,2,8,8,COIN,['Layer-1'],0,0.0500,0.015000,0.10,"[{'minPrice': '1.051', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '0.01', 'filterType': 'LOT_SIZE', 'maxQty': '100000', 'minQty': '0.01'}, {'stepSize': '0.01', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '10000', 'minQty': '0.01'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
LINKUSDT,LINKUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,LINK,USDT,USDT,3,2,8,8,COIN,['Oracle'],0,0.1000,0.005000,0.10,"[{'minPrice': '0.464', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.001'}, {'stepSize': '0.01', 'filterType': 'LOT_SIZE', 'maxQty': '100000', 'minQty': '0.01'}, {'stepSize': '0.01', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '20000', 'minQty': '0.01'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
XLMUSDT,XLMUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,XLM,USDT,USDT,5,0,8,8,COIN,['Layer-2'],0,0.0500,0.010000,0.05,"[{'minPrice': '0.00648', 'maxPrice': '20000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.00001'}, {'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '10000000', 'minQty': '1'}, {'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '1000000', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX']"
